URL;Gibt es eine Kooperation? ;interessant?;Art des Inhalts;Art des Inhalts genau;Text des Links;Zusammenfassung;Zielgruppe;Firmensitz;Kostenmodell;Schwerpunkt;Technologie-Fokus;Sprache;Aktualität;DSGVO Text;DSGVO Ja/Nein;Provision;Wettbewerber;Relevanz KI-Coaching Bewertung;Relevanz KI-Coaching Begründung;Produktkategorie;Letzter Check;;;;
coachingcloud.com/;;;Produktseite;;;CoachingCloud.com bietet eine digitale Plattform zur Verwaltung und Organisation von Coaching- und Trainingsangeboten. Die Software unterstützt Coaches bei Terminplanung, Kundenverwaltung und Abrechnung, um den Arbeitsalltag effizienter zu gestalten;Die Zielgruppe sind Coaches und Trainer, die ihre Terminplanung, Kundenverwaltung und Abrechnung digital organisieren möchten;Unklar;Abo;Digitale Plattform, Coaching-Verwaltung, Terminplanung, Kundenmanagement, Abrechnung, Effizienzsteigerung;Plattform;Englisch;Unklar;Unklar;Unklar;Keine/Unklar;1. CoachAccountable;Mittel - Die Plattform unterstützt administrative Aufgaben, was KI-Coaching indirekt erleichtert, bietet jedoch keine direkte KI-gestützte Coaching-Funktion;;;;;;;
coachinglobby.com/;;;Landingpage;;;CoachingLobby.com bietet eine Plattform für Coaching-Dienstleistungen, die persönliche und berufliche Entwicklung unterstützen. Nutzer finden hier verschiedene Coaches und Programme, um ihre Ziele effektiv zu erreichen;Die Zielgruppe sind Personen, die persönliche und berufliche Entwicklung durch Coaching-Dienstleistungen suchen;Unklar;Unklar;Coaching-Plattform, persönliche Entwicklung, berufliche Entwicklung, Coaches, Programme, Zielerreichung;Plattform;Englisch;Unklar;Unklar;Unklar;Keine/Unklar;1. BetterUp;Hoch - Die Plattform bietet vielfältige Coaching-Dienstleistungen und Programme, die durch KI personalisiert und optimiert werden können;;;;;;;
coachingspace.net/;;;Landingpage;;;Coachingspace.net bietet eine Plattform für professionelle Coaching-Dienstleistungen und persönliche Weiterentwicklung. Nutzer finden hier Unterstützung bei beruflichen und privaten Herausforderungen durch erfahrene Coaches;Die Zielgruppe sind Personen, die professionelle Coaching-Dienstleistungen zur persönlichen und beruflichen Weiterentwicklung suchen;Unklar;Unklar;Professionelle Coaching-Dienstleistungen, persönliche Weiterentwicklung, Unterstützung, berufliche Herausforderungen, private Herausforderungen, erfahrene Coaches;Plattform;Englisch;Unklar;Unklar;Unklar;Keine/Unklar;1. BetterUp;Hoch - Die Plattform bietet gezielte Unterstützung durch erfahrene Coaches, was für KI-Coaching relevant ist, da KI personalisierte und professionelle Coaching-Dienstleistungen fördern kann;;;;;;;
cspcoachingsupervision.com/post/ai-coaching-with-great-power-comes-great-irresponsibility;;;Blogartikel;;Coaching Supervision Partnership: AI Coaching – With Great Power Comes Great Irresponsibility;Der Artikel auf cspcoachingsupervision.com thematisiert die Chancen und Risiken von KI im Coaching. Er betont, dass mit der großen Macht der KI auch eine große Verantwortung einhergeht, um ethische und verantwortungsvolle Anwendungen sicherzustellen;Die Zielgruppe sind Coaches, Supervisoren und Fachleute im Bereich Coaching, die sich mit dem Einsatz von KI und ethischen Fragestellungen auseinandersetzen;Unklar;Unklar;Chancen und Risiken KI, ethische Verantwortung, Coaching;KI-gestütztes Coaching, Ethik, Verantwortungsbewusste KI-Anwendung;Englisch;Unklar;Unklar;Unklar;Keine/Unklar;1. BetterUp;Hoch – Der Artikel behandelt zentrale ethische und verantwortungsvolle Aspekte des KI-Einsatzes im Coaching, was für die Praxis und Entwicklung von KI-Coaching essenziell ist;;;;;;;
culcha.com/;;;Landingpage;;;Culcha.com ist eine Plattform, die sich mit kulturellen Themen und Veranstaltungen beschäftigt. Sie bietet Informationen und Neuigkeiten rund um Kunst, Musik und Lifestyle;Die Zielgruppe sind kulturinteressierte Menschen, die sich für Kunst, Musik und Lifestyle sowie aktuelle Veranstaltungen und Neuigkeiten in diesen Bereichen interessieren;Unklar;Unklar;Kulturelle Themen, Veranstaltungen, Kunst, Musik, Lifestyle, Informationen, Neuigkeiten;Plattform;Mehrsprachig;Unklar;Unklar;Unklar;Keine/Unklar;1. Eventbrite – Plattform für Veranstaltungstickets und Events;Gering - Die Plattform fokussiert sich auf kulturelle Inhalte und Veranstaltungen, die für KI-Coaching nur begrenzt relevant sind;;;;;;;
decisionmaker.k-i-e.com/;;;Landingpage;;;Die Webseite decisionmaker.k-i-e.com bietet wahrscheinlich Entscheidungsunterstützung oder Tools für Führungskräfte an. Der Fokus liegt auf der Optimierung von Entscheidungsprozessen in Unternehmen;Die Zielgruppe sind Führungskräfte und Entscheidungsträger in Unternehmen;Unklar;Unklar;Entscheidungsunterstützung, Führungskräfte, Prozessoptimierung, Unternehmen;Plattform, Analytics;Englisch;Unklar;Unklar;Unklar;Keine/Unklar;1. McKinsey & Company;Hoch - Die Webseite unterstützt Führungskräfte bei der Optimierung von Entscheidungsprozessen, was für KI-Coaching im Bereich Entscheidungsfindung und Management sehr relevant ist;;;;;;;
delta.chat/de/;;;Landingpage;;Delta Chat: Messenger über E-Mail (dezentral, Open Source);Delta Chat ist ein dezentraler und Open-Source-Messenger, der E-Mail als Kommunikationsbasis nutzt. Dadurch ermöglicht die App sichere und unabhängige Nachrichtenübermittlung ohne zentrale Server;Die Zielgruppe sind Nutzer, die Wert auf dezentrale, sichere und datenschutzfreundliche Kommunikation legen und E-Mail als Basis für Messaging bevorzugen;Unklar;Kostenmodell: Kostenlos;Dezentrale Kommunikation, Open Source, E-Mail-basiert, sichere Nachrichtenübermittlung;App, dezentrale Kommunikation, Open Source;Deutsch;Unklar;Datenschutzerklärung und Impressum sind bei einer .de-Domain zu erwarten;Ja;Keine/Unklar;1. Signal – sicherer, dezentraler Messenger mit Ende-zu-Ende-Verschlüsselung;Gering – Fokus liegt auf sicherer, dezentraler Kommunikation, weniger auf KI-gestütztem Coaching;;;;;;;
devgets.com/apps/;;;App-Store;;;DevGets.com bietet eine Plattform für Entwickler, um verschiedene Apps und Tools zu entdecken und zu nutzen. Die Seite präsentiert eine Auswahl an Anwendungen, die speziell auf die Bedürfnisse von Programmierern zugeschnitten sind;Die Zielgruppe sind Entwickler und Programmierer, die nach nützlichen Apps und Tools suchen;Unklar;Unklar;Plattform für Entwickler, Apps entdecken, programmiererspezifische Tools;Plattform;Englisch;Unklar;Unklar;Unklar;Keine/Unklar;1. GitHub Marketplace;Mittel - Die Plattform bietet nützliche Tools für Entwickler, jedoch ist der direkte Bezug zu KI-Coaching begrenzt;;;;;;;
enneagramm.eu/;;;Landingpage;;;Die Webseite enneagramm.eu bietet Informationen zum Enneagramm, einem Persönlichkeitstypenmodell, das zur Selbsterkenntnis und persönlichen Entwicklung genutzt wird. Sie richtet sich an Interessierte, die mehr über die neun Typen und deren Eigenschaften erfahren möchten;Die Zielgruppe sind Personen, die sich für Persönlichkeitsentwicklung und Selbsterkenntnis interessieren;Unklar;kostenlos;Enneagramm, Persönlichkeitstypen, Selbsterkenntnis, persönliche Entwicklung, neun Typen, Eigenschaften;Plattform;Deutsch;Unklar;Datenschutzerklärung/Impressum zu erwarten (EU-Domain);Unklar;Keine/Unklar;1. 16Personalities (16personalities.com);Hoch - Das Enneagramm bietet tiefgehende Einblicke in Persönlichkeitstypen, die im KI-Coaching zur individuellen Anpassung und Förderung der persönlichen Entwicklung genutzt werden können;;;;;;;
greator.com/persoenlichkeitstest/;;;Landingpage;;;Auf greator.com/persoenlichkeitstest/ wird ein Persönlichkeitstest angeboten, der dabei hilft, die eigenen Charaktereigenschaften besser zu verstehen. Der Test unterstützt Nutzer dabei, persönliche Stärken und Potenziale zu erkennen;Die Zielgruppe sind Personen, die ihre Persönlichkeit besser verstehen und ihre Stärken sowie Potenziale erkennen möchten;Unklar;Unklar;Persönlichkeitstest, Charaktereigenschaften, Stärken erkennen, Potenziale entdecken;App;Deutsch;Unklar;Unklar;Unklar;Keine/Unklar;1. 16Personalities;Hoch – Der Persönlichkeitstest liefert wertvolle Einblicke in individuelle Charaktereigenschaften und Potenziale, die für personalisiertes KI-Coaching essenziell sind;;;;;;;
heyleada.ai/showcase;;;Showcase-Seite;;;heyleada.ai präsentiert auf der Showcase-Seite verschiedene Anwendungsbeispiele ihrer KI-gestützten Lead-Generierungslösungen. Die Plattform zeigt, wie Unternehmen durch automatisierte Prozesse effizient neue Kunden gewinnen können;Die Zielgruppe sind Unternehmen, die ihre Lead-Generierung durch KI-gestützte Automatisierung verbessern möchten;Unklar;Unklar;KI-gestützte Lead-Generierung, automatisierte Kundenakquise, Effizienzsteigerung;Plattform, KI-gestützte Lead-Generierung, Automatisierung;Englisch;Unklar;Unklar;Unklar;Keine/Unklar;1. Leadfeeder;Hoch - Die Plattform nutzt KI zur Automatisierung und Effizienzsteigerung im Kundenakquiseprozess, was direkt für KI-Coaching relevant ist;;;;;;;
horizont-ruhestand.com/;;;Landingpage;;;Die Webseite horizont-ruhestand.com bietet Informationen und Tipps rund um den Ruhestand und die Altersvorsorge. Sie richtet sich an Menschen, die ihre finanzielle und persönliche Planung für den Ruhestand optimieren möchten;Die Zielgruppe sind Menschen, die ihre finanzielle und persönliche Planung für den Ruhestand optimieren möchten;Unklar;kostenlos;Ruhestand, Altersvorsorge, finanzielle Planung, persönliche Planung, Tipps, Informationen;Plattform;Deutsch;Unklar;Unklar;Unklar;Keine/Unklar;1. finanzfluss.de;Gering – Die Webseite fokussiert sich auf Ruhestandsplanung und Altersvorsorge, was nur begrenzt direkten Bezug zu KI-Coaching hat;;;;;;;
ireflect.de/;;;Landingpage;;;iReflect.de bietet innovative Lösungen im Bereich der digitalen Reflexion und Selbstverbesserung. Die Plattform unterstützt Nutzer dabei, persönliche Erkenntnisse zu gewinnen und nachhaltige Veränderungen zu fördern;Die Zielgruppe sind Personen, die an digitaler Selbstreflexion und persönlicher Weiterentwicklung interessiert sind;Deutschland, unklar;Unklar;Digitale Reflexion, Selbstverbesserung, persönliche Erkenntnisse, nachhaltige Veränderungen;Plattform, App;Deutsch;Unklar;Unklar;Unklar;Keine/Unklar;1. Headspace;Hoch - Die Plattform fördert durch digitale Reflexion und Selbstverbesserung gezielt persönliche Entwicklung, was für KI-Coaching essenziell ist;;;;;;;
lebensverbesserer-app.de/de/;;;App-Store;;;Die Website lebensverbesserer-app.de bietet eine App zur Verbesserung der Lebensqualität an. Sie unterstützt Nutzer dabei, gesunde Gewohnheiten zu entwickeln und das Wohlbefinden zu steigern;Die Zielgruppe sind Menschen, die ihre Lebensqualität verbessern und gesunde Gewohnheiten entwickeln möchten;Unklar;Unklar;Lebensqualität verbessern, gesunde Gewohnheiten, Wohlbefinden steigern;App;Deutsch;Unklar;Datenschutzerklärung und Impressum sind zu erwarten (DE-Domain);Unklar;Keine/Unklar;1. Headspace – Meditations- und Achtsamkeits-App;Mittel - Die App fördert gesunde Gewohnheiten und Wohlbefinden, was für KI-Coaching relevant ist, jedoch ohne spezifischen Fokus auf KI-Technologien;;;;;;;
link.springer.com/article/10.1007/s11613-025-00981-8;;;Studienartikel;;Springer: Task-Technology-Fit (TTF) Review anhand von Nutzererfahrungen mit einem AI-Coaching-Agenten;Der Artikel auf Springer untersucht das Task-Technology-Fit (TTF)-Modell anhand von Nutzererfahrungen mit einem AI-Coaching-Agenten. Dabei wird analysiert, wie gut die Technologie den Anforderungen der Nutzer entspricht und deren Effektivität im Coaching-Prozess beeinflusst;Die Zielgruppe sind Forscher, Entwickler und Anwender im Bereich AI-Coaching und Technologieakzeptanz;Unklar;Unklar;Task-Technology-Fit, Nutzererfahrungen, AI-Coaching-Agent, Technologieanpassung, Coaching-Effektivität;AI-Coaching-Agent (Plattform/Agent);Deutsch;2025;Datenschutzerklärung/Impressum zu erwarten (EU/DE-Domain);Unklar;Keine/Unklar;1. Gartner: Studien zu Technologieakzeptanz und Nutzererfahrungen;Hoch – Der Artikel analysiert direkt die Passung von Technologie zu Nutzeranforderungen im Kontext von AI-Coaching, was für die Optimierung und Effektivität von KI-Coaching-Agenten zentral ist;;;;;;;
lpscocoon.de/html/software.php;;;Produktseite;;;Die Webseite lpscocoon.de bietet Informationen zu Softwarelösungen, vermutlich im Bereich Webentwicklung oder Content-Management. Details zur Software oder deren Funktionen werden auf der Seite vorgestellt;Die Zielgruppe sind Webentwickler und Nutzer von Content-Management-Systemen;Deutschland/Unklar;Unklar;Softwarelösungen, Webentwicklung, Content-Management, Funktionen, Informationen;Plattform, Webentwicklung, Content-Management;Deutsch;Unklar;Unklar;Unklar;Keine/Unklar;1. WordPress;Gering - Die Webseite bietet allgemeine Informationen zu Software, jedoch ohne spezifischen Bezug zu KI-Coaching;;;;;;;
mastercoachapp.com/;;;Landingpage;;;Die Website mastercoachapp.com bietet eine App für Coaches, die deren Arbeitsprozesse digital unterstützt und optimiert. Sie ermöglicht eine effiziente Verwaltung von Coaching-Sitzungen und Klientendaten;Die Zielgruppe sind Coaches, die ihre Arbeitsprozesse digital verwalten und optimieren möchten;Unklar;Unklar;Digitale Coaching-App, Prozessoptimierung, Sitzungsverwaltung, Klientendatenmanagement;App;Englisch;Unklar;Unklar;Unklar;Keine/Unklar;1. CoachAccountable;Hoch - Die App unterstützt Coaches digital und optimiert Arbeitsprozesse, was direkt die Effizienz und Qualität im KI-gestützten Coaching verbessert;;;;;;;
myinnerteam.de/;;;Landingpage;;;MyInnerTeam.de bietet Unterstützung und Ressourcen zur persönlichen Weiterentwicklung und mentalen Gesundheit. Die Plattform fokussiert sich darauf, innere Stärke zu fördern und individuelle Potenziale zu entfalten;Die Zielgruppe sind Personen, die an persönlicher Weiterentwicklung und mentaler Gesundheit interessiert sind;Deutschland/Unklar;Unklar;Persönliche Weiterentwicklung, mentale Gesundheit, innere Stärke, Potenzialentfaltung;Plattform, App;Deutsch;Unklar;Datenschutzerklärung und Impressum sind zu erwarten (DE-Domain, EU);Ja;Keine/Unklar;1. Headspace – Meditation und Achtsamkeitstraining;Mittel - Die Plattform unterstützt persönliche Entwicklung und mentale Gesundheit, was für KI-Coaching relevant ist, jedoch ohne direkten Fokus auf KI-Technologien;;;;;;;
ondojo.de/ondojo/;;;Produktseite;;;Die Webseite ondojo.de/ondojo/ präsentiert Informationen über Ondojo, vermutlich eine Plattform oder Dienstleistung im Bereich Fitness oder Gesundheit. Details sind begrenzt, doch der Domainname deutet auf ein Angebot rund um Training oder Wohlbefinden hin;Die Zielgruppe sind fitness- und gesundheitsbewusste Personen, die an Training und Wohlbefinden interessiert sind;Deutschland/Unklar;Unklar;Fitness, Gesundheit, Training, Wohlbefinden, Plattform, Dienstleistung;Plattform;Deutsch;Unklar;Unklar;Unklar;Keine/Unklar;1. Freeletics;Mittel – Die Plattform könnte durch KI-Coaching im Bereich Fitness und Wohlbefinden unterstützt werden, jedoch sind die genauen Inhalte und Angebote unklar;;;;;;;
online-coaching-lernen.de/ausbildung/ai-ca-der-ki-agent-mit-coachingdiagnostischem-wissen/;;;Produktseite;;Online-Coaching-Lernen: AI-CA – KI-Agent mit coachingdiagnostischem Wissen;Die Seite von Online-Coaching-Lernen stellt den AI-CA vor, einen KI-Agenten, der über coachingdiagnostisches Wissen verfügt. Dieser Agent unterstützt im Coachingprozess durch den Einsatz künstlicher Intelligenz und fördert so eine effektive Ausbildung im Bereich Coaching;Coaches, Coaching-Ausbilder und Personen, die KI im Coaching einsetzen möchten;Deutschland, unklar;Unklar;KI-Agent, coachingdiagnostisches Wissen, Coachingprozess, Ausbildung, künstliche Intelligenz;KI-Agent (AI-Agent) mit coachingdiagnostischem Wissen, Plattform;Deutsch;Unklar;Datenschutzerklärung/Impressum zu erwarten (DE-Domain);Unklar;Keine/Unklar;1. BetterUp – Plattform für personalisiertes Online-Coaching;Hoch – Der KI-Agent integriert spezifisches coachingdiagnostisches Wissen und unterstützt direkt den Coachingprozess, was für KI-Coaching von zentraler Bedeutung ist;;;;;;;
play.google.com/store/apps/developer?id=Junfermann+Verlag+GmbH&hl=de;;;App-Store;;;Der Junfermann Verlag GmbH bietet auf Google Play eine Auswahl an Apps, die sich auf psychologische und spirituelle Themen konzentrieren. Die Anwendungen unterstützen persönliche Entwicklung und Wohlbefinden;Die Zielgruppe sind Personen, die an psychologischer und spiritueller Entwicklung sowie persönlichem Wohlbefinden interessiert sind;Unklar;Unklar;psychologische Themen, spirituelle Themen, persönliche Entwicklung, Wohlbefinden;App;Deutsch;Unklar;Unklar;Unklar;Keine/Unklar;1. Springer Nature;Mittel - Die Apps fördern persönliche Entwicklung und Wohlbefinden, was für KI-Coaching relevant ist, jedoch fehlt ein direkter Fokus auf KI-gestützte Coaching-Methoden;;;;;;;
praxis-muenchen-zentrum.de/coaching/stress-analyse/stressbewaeltigung-muenchen.php#;;;Produktseite;;Praxis München Zentrum: Stressbewältigung/Burnout-Coaching & Stress-Analyse (HRV);Die Praxis München Zentrum bietet professionelle Stressbewältigung und Burnout-Coaching an, unterstützt durch eine Stress-Analyse mittels Herzratenvariabilität (HRV). Ziel ist es, individuelle Stressfaktoren zu erkennen und effektive Strategien zur Entspannung und Gesundheitsförderung zu entwickeln;Erwachsene mit Stressproblemen, Burnout-Gefährdete und Personen, die ihre Gesundheit durch Stressbewältigung verbessern möchten;Deutschland/München;Unklar;Stressbewältigung, Burnout-Coaching, HRV-Analyse, Entspannung, Gesundheitsförderung;Analytics;Deutsch;Unklar;Datenschutzerklärung/Impressum zu erwarten (DE-Domain);Unklar;Keine/Unklar;1. Praxis für Psychotherapie München;Hoch - Die Integration der HRV-Analyse ermöglicht eine datenbasierte, individuelle Stressbewertung, die für KI-gestütztes Coaching besonders relevant ist;;;;;;;
praxis-muenchen-zentrum.de/coaching/stress-analyse/stressbewaeltigung-muenchen.php#;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.valence.co/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://reliefai.ca/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.coachful.co/#features;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
tryapt.ai;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.tandfonline.com/doi/full/10.1080/17521882.2026.2625707;;;;nicht erreichbar;;;;;;;;;;;;;;;;;;;;;
https://insight-seed-coach.lovable.app/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.gerty.health/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://sonacoaching.io/;;;;nicht erreichbar;;;;;;;;;;;;;;;;;;;;;
https://www.sovereignsanctuary.net/;;;;nicht erreichbar;;;;;;;;;;;;;;;;;;;;;
https://www.realtalkstudio.com/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://getguidance.ai/why-guidanceai;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://isaacson.uk/digital-and-ai-coaches-conference/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.thecoachingtoolscompany.com/the-coaching-industry-trends-2025/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.valence.co/resources?hub=summit-2026;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.citiumsolutions.co.uk/ai-coaching-projects;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://coachingfederation.org/blog/what-do-you-stand-for-as-a-coach-a-personal-branding-and-ai-perspective/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.coaching-akademie-muenchen.de/beitraege/ki-im-coaching-ein-umfassender-blick/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.bc4d.org/conflict-coach;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://replika.com/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.coaching.com/coaching-management-software;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.wejam.ai/de;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://vertriebs-ai.de/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.mento.co/how-it-works;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.contur-online.de/en/services/coaching-by-ai/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://usawire.com/this-ai-coaching-platform-doesnt-just-give-advice-it-transforms-how-you-think/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://theses.hal.science/tel-05226103v1/document;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.eeight.io/de/ki-wissensmanagement-system-siara;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://sajhrm.co.za/index.php/sajhrm/article/view/3334/5389;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://ojs.aaai.org/index.php/AIES/article/view/36632;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.linkedin.com/posts/aladamsen_futureofwork-leadership-ai-share-7434996350238281728-Kqfr/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.linkedin.com/pulse/coaching-industry-just-got-disrupted-greg-jameson-gq41c/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.tandfonline.com/doi/full/10.1080/17521882.2026.2625707?_sc=Nzk0NTMwMCMxNjA2;;;;nicht erreichbar;;;;;;;;;;;;;;;;;;;;;
https://vivalacoaching.com/courses/webinars-collection/lessons/which-approach-actually-wins-in-ai-coaching-research/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.tandfonline.com/doi/full/10.1080/17521882.2026.2625707?_sc=Nzk0NTMwMCMxNjA2#appendixes;;;;nicht erreichbar;;;;;;;;;;;;;;;;;;;;;
https://www.linkedin.com/pulse/real-coaching-goes-vertical-most-ai-does-know-lifespideracademy-4l7lc/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.linkedin.com/posts/paul-wilson-274350_the-current-debate-around-ai-and-coaching-share-7432000982215127040-BFNx/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.linkedin.com/posts/leloba-pahl_ethicalai-humanitarianwellbeing-aiandcoaching-share-7430292409286152193-7JNf/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://micha-madhava.com/ki-und-menschsein/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.coachnova.ai/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.linkedin.com/pulse/ai-coaching-beginners-start-small-stay-ethical-save-hours-liyanage-kslyc/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.linkedin.com/posts/daniel-kempe-3524376b_ai-coaching-is-becoming-a-thing-and-honestly-share-7433935364400132096-x4u6/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://mycoachz.com/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://flowcoachai.com/#;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.mckinsey.com/capabilities/tech-and-ai/our-insights/superagency-in-the-workplace-empowering-people-to-unlock-ais-full-potential-at-work;;;;nicht erreichbar;;;;;;;;;;;;;;;;;;;;;
https://torch.io/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.coachingethicsforum.com/register/cef-live-webinar-march-10th-2026/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.coachingethicsforum.com/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.hppyppl.de/kooperationspartner;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.tandfonline.com/eprint/MUPTN4FDZKIJ5V6UPDMA/full?target=10.1080/13678868.2026.2633990;;;;nicht erreichbar;;;;;;;;;;;;;;;;;;;;;
https://www.listen.org/events/aiminiseries;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://icfcoachingfuturesreport.com/#table-of-contents;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://yanivpreiss.com/2026/03/01/the-hidden-risks-of-ai-coaching/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://ineko.de/ai/ai-master-coach?utm_source=google&utm_medium=cpc&utm_campaign=&utm_campaign_id=23545762218&utm_content=&utm_term=k%C3%BCnstliche%20intelligenz%20coaching&gad_source=1&gad_campaignid=23545762218&gbraid=0AAAAADy0Wm11_dtoMI6nQUmju-U2WmDb5&gclid=CjwKCAiAtq_NBhA_EiwA78nNWOKYW8VqluHjEU1k6ytgKXosbyFev8PirqvLy9lOjldxR-VgjS_enBoC7QMQAvD_BwE;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.cop-morrien.de/profil/dreamguidance/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.kunstplaza.de/kunstkurse-kuenstlerische-ausbildung/microlearning-headway/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://media.licdn.com/dms/document/media/v2/D4E1FAQFfRp2QQD9HTg/feedshare-document-pdf-analyzed/B4EZy84ExiHkAc-/0/1772695344061?e=1773878400&v=beta&t=a3Wf6PvQsfZTgBiTy8hpiyOgEG8_UAmiGZ4AQUrsHkA;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://theeuropeanchatbot.com/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.leapsome.com/de/plattform/ziele-und-okrs;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.excelia.io/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://de.associationforcoaching.com/events/EventDetails.aspx?id=2043032&group=;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://museotter-landing.web.app/en/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://museotter-pitch.web.app/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://theexistapp.com/careers;;;;nicht erreichbar;;;;;;;;;;;;;;;;;;;;;
https://sentio.org/ai-research;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.iaseai.org/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.tandfonline.com/doi/full/10.1080/17521882.2026.2640932#d1e153;;;;nicht erreichbar;;;;;;;;;;;;;;;;;;;;;
https://pagebar.site/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
http://coach-bot.de/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://ki-trainingszentrum.com/coaching-und-training-mit-ki-technologie/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.automateed.com/de/hybrides-coaching-modell;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://hybrid.management/blog/ki-gestuetztes-coaching/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://mira-ai.de/#;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.contur-online.de/leistungen/coaching-durch-ki/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://aisuperior.com/de/ai-companies-for-coaching/;;;;API-Fehler: Connection error.;;;;;;;;;;;;;;;;;;;;;
https://www.tandfonline.com/doi/full/10.1080/13678868.2026.2633990;;;;nicht erreichbar;;;;;;;;;;;;;;;;;;;;;
